,FPR,TPR,FNR,TNR
0,0.127565024,0.730769231,0.269230769,0.872434976
1,0.180237877,0.808704453,0.191295547,0.819762123
2,0.124950987,0.701417004,0.298582996,0.875049013
3,0.142465037,0.760121457,0.239878543,0.857534963
4,0.123513266,0.714574899,0.285425101,0.876486734
5,0.157103647,0.789473684,0.210526316,0.842896353
6,0.128218534,0.717611336,0.282388664,0.871781466
7,0.112795713,0.665991903,0.334008097,0.887204287
8,0.163900144,0.801619433,0.198380567,0.836099856
9,0.128479937,0.73582996,0.26417004,0.871520063
10,0.127565024,0.729757085,0.270242915,0.872434976
11,0.148869429,0.767206478,0.232793522,0.851130571
12,0.154881715,0.770242915,0.229757085,0.845118285
13,0.157757156,0.780364372,0.219635628,0.842242844
14,0.138413279,0.743927126,0.256072874,0.861586721
15,0.167559796,0.793522267,0.206477733,0.832440204
16,0.146255391,0.760121457,0.239878543,0.853744609
17,0.097372892,0.633603239,0.366396761,0.902627108
18,0.1258659,0.718623482,0.281376518,0.8741341
19,0.139589596,0.73582996,0.26417004,0.860410404
20,0.135145733,0.73582996,0.26417004,0.864854267
21,0.155535224,0.775303644,0.224696356,0.844464776
22,0.125604496,0.726720648,0.273279352,0.874395504
23,0.17200366,0.809716599,0.190283401,0.82799634
24,0.137890472,0.738866397,0.261133603,0.862109528
25,0.165207162,0.794534413,0.205465587,0.834792838
26,0.116193962,0.697368421,0.302631579,0.883806038
27,0.136844857,0.73582996,0.26417004,0.863155143
28,0.129656254,0.728744939,0.271255061,0.870343746
29,0.15527382,0.788461538,0.211538462,0.84472618
30,0.16991243,0.798582996,0.201417004,0.83008757
31,0.1258659,0.719635628,0.280364372,0.8741341
32,0.132400993,0.731781377,0.268218623,0.867599007
33,0.149392236,0.768218623,0.231781377,0.850607764
34,0.123121161,0.725708502,0.274291498,0.876878839
35,0.130963273,0.736842105,0.263157895,0.869036727
36,0.13775977,0.741902834,0.258097166,0.86224023
37,0.182721213,0.816801619,0.183198381,0.817278787
38,0.162070318,0.80465587,0.19534413,0.837929682
39,0.14965364,0.76417004,0.23582996,0.85034636
40,0.130440465,0.725708502,0.274291498,0.869559535
41,0.165337864,0.78340081,0.21659919,0.834662136
42,0.148869429,0.769230769,0.230769231,0.851130571
43,0.141811528,0.758097166,0.241902834,0.858188472
44,0.107044831,0.665991903,0.334008097,0.892955169
45,0.158933473,0.776315789,0.223684211,0.841066527
46,0.170043132,0.803643725,0.196356275,0.829956868
47,0.120768527,0.714574899,0.285425101,0.879231473
48,0.176316821,0.816801619,0.183198381,0.823683179
49,0.112011502,0.66902834,0.33097166,0.887988498
0,0.142465037,0.75708502,0.24291498,0.857534963
1,0.143902758,0.748987854,0.251012146,0.856097242
2,0.116847471,0.692307692,0.307692308,0.883152529
3,0.151222062,0.761133603,0.238866397,0.848777938
4,0.131616782,0.737854251,0.262145749,0.868383218
5,0.140243105,0.74291498,0.25708502,0.859756895
6,0.129656254,0.731781377,0.268218623,0.870343746
7,0.167429094,0.798582996,0.201417004,0.832570906
8,0.173179976,0.80465587,0.19534413,0.826820024
9,0.15945628,0.786437247,0.213562753,0.84054372
10,0.14403346,0.763157895,0.236842105,0.85596654
11,0.154358907,0.770242915,0.229757085,0.845641093
12,0.099464122,0.649797571,0.350202429,0.900535878
13,0.135799242,0.734817814,0.265182186,0.864200758
14,0.12377467,0.721659919,0.278340081,0.87622533
15,0.133185205,0.732793522,0.267206478,0.866814795
16,0.144686969,0.75,0.25,0.855313031
17,0.130309763,0.720647773,0.279352227,0.869690237
18,0.194615083,0.826923077,0.173076923,0.805384917
19,0.137890472,0.73582996,0.26417004,0.862109528
20,0.11606326,0.684210526,0.315789474,0.88393674
21,0.149392236,0.762145749,0.237854251,0.850607764
22,0.139720298,0.75,0.25,0.860279702
23,0.130701869,0.734817814,0.265182186,0.869298131
24,0.139458894,0.744939271,0.255060729,0.860541106
25,0.094758855,0.639676113,0.360323887,0.905241145
26,0.15527382,0.769230769,0.230769231,0.84472618
27,0.148215919,0.771255061,0.228744939,0.851784081
28,0.136583453,0.736842105,0.263157895,0.863416547
29,0.195399294,0.827935223,0.172064777,0.804600706
30,0.144556267,0.778340081,0.221659919,0.855443733
31,0.117108875,0.700404858,0.299595142,0.882891125
32,0.129002745,0.717611336,0.282388664,0.870997255
33,0.152398379,0.771255061,0.228744939,0.847601621
34,0.145340478,0.758097166,0.241902834,0.854659522
35,0.123251863,0.71659919,0.28340081,0.876748137
36,0.123121161,0.706477733,0.293522267,0.876878839
37,0.107436936,0.673076923,0.326923077,0.892563064
38,0.133315906,0.732793522,0.267206478,0.866684094
39,0.152659783,0.786437247,0.213562753,0.847340217
40,0.183505424,0.819838057,0.180161943,0.816494576
41,0.138151876,0.752024291,0.247975709,0.861848124
42,0.163900144,0.788461538,0.211538462,0.836099856
43,0.141419422,0.768218623,0.231781377,0.858580578
44,0.113579924,0.686234818,0.313765182,0.886420076
45,0.131224677,0.734817814,0.265182186,0.868775323
46,0.185204548,0.835020243,0.164979757,0.814795452
47,0.139458894,0.744939271,0.255060729,0.860541106
48,0.158149262,0.782388664,0.217611336,0.841850738
49,0.130832571,0.719635628,0.280364372,0.869167429
