,FPR,TPR,FNR,TNR
0,0.118666667,0.692,0.308,0.881333333
1,0.156,0.729,0.271,0.844
2,0.106,0.661,0.339,0.894
3,0.046666667,0.515,0.485,0.953333333
4,0.125666667,0.688,0.312,0.874333333
5,0.069,0.602,0.398,0.931
6,0.170666667,0.742,0.258,0.829333333
7,0.080333333,0.606,0.394,0.919666667
8,0.232333333,0.778,0.222,0.767666667
9,0.193666667,0.747,0.253,0.806333333
10,0.075333333,0.577,0.423,0.924666667
11,0.126666667,0.701,0.299,0.873333333
12,0.116,0.673,0.327,0.884
13,0.134,0.688,0.312,0.866
14,0.051,0.53,0.47,0.949
15,0.09,0.59,0.41,0.91
16,0.125333333,0.665,0.335,0.874666667
17,0.082,0.652,0.348,0.918
18,0.107666667,0.637,0.363,0.892333333
19,0.148666667,0.734,0.266,0.851333333
20,0.216333333,0.779,0.221,0.783666667
21,0.076,0.592,0.408,0.924
22,0.142,0.699,0.301,0.858
23,0.064333333,0.566,0.434,0.935666667
24,0.260666667,0.781,0.219,0.739333333
25,0.161666667,0.734,0.266,0.838333333
26,0.128666667,0.676,0.324,0.871333333
27,0.106666667,0.665,0.335,0.893333333
28,0.1,0.653,0.347,0.9
29,0.038333333,0.461,0.539,0.961666667
30,0.084,0.599,0.401,0.916
31,0.064666667,0.582,0.418,0.935333333
32,0.075666667,0.592,0.408,0.924333333
33,0.109666667,0.675,0.325,0.890333333
34,0.131,0.684,0.316,0.869
35,0.119666667,0.658,0.342,0.880333333
36,0.100333333,0.671,0.329,0.899666667
37,0.076,0.568,0.432,0.924
38,0.062,0.593,0.407,0.938
39,0.208,0.776,0.224,0.792
40,0.135666667,0.72,0.28,0.864333333
41,0.144666667,0.69,0.31,0.855333333
42,0.081,0.605,0.395,0.919
43,0.112,0.66,0.34,0.888
44,0.048666667,0.495,0.505,0.951333333
45,0.11,0.707,0.293,0.89
46,0.108666667,0.629,0.371,0.891333333
47,0.241666667,0.729,0.271,0.758333333
48,0.102,0.683,0.317,0.898
49,0.084,0.61,0.39,0.916
0,0.065,0.562,0.438,0.935
1,0.086333333,0.598,0.402,0.913666667
2,0.115333333,0.671,0.329,0.884666667
3,0.053333333,0.52,0.48,0.946666667
4,0.137,0.695,0.305,0.863
5,0.110666667,0.655,0.345,0.889333333
6,0.184333333,0.737,0.263,0.815666667
7,0.098666667,0.641,0.359,0.901333333
8,0.096666667,0.611,0.389,0.903333333
9,0.071333333,0.578,0.422,0.928666667
10,0.289666667,0.825,0.175,0.710333333
11,0.212666667,0.778,0.222,0.787333333
12,0.132333333,0.706,0.294,0.867666667
13,0.262333333,0.82,0.18,0.737666667
14,0.069333333,0.552,0.448,0.930666667
15,0.120333333,0.682,0.318,0.879666667
16,0.094,0.641,0.359,0.906
17,0.102666667,0.657,0.343,0.897333333
18,0.170333333,0.717,0.283,0.829666667
19,0.108333333,0.653,0.347,0.891666667
20,0.066333333,0.599,0.401,0.933666667
21,0.088666667,0.661,0.339,0.911333333
22,0.14,0.711,0.289,0.86
23,0.092,0.621,0.379,0.908
24,0.155666667,0.685,0.315,0.844333333
25,0.082666667,0.633,0.367,0.917333333
26,0.167666667,0.708,0.292,0.832333333
27,0.134,0.695,0.305,0.866
28,0.124333333,0.669,0.331,0.875666667
29,0.128333333,0.687,0.313,0.871666667
30,0.066666667,0.579,0.421,0.933333333
31,0.065,0.544,0.456,0.935
32,0.115333333,0.677,0.323,0.884666667
33,0.090333333,0.633,0.367,0.909666667
34,0.180666667,0.745,0.255,0.819333333
35,0.165333333,0.748,0.252,0.834666667
36,0.092333333,0.64,0.36,0.907666667
37,0.125333333,0.674,0.326,0.874666667
38,0.118,0.664,0.336,0.882
39,0.117666667,0.662,0.338,0.882333333
40,0.080666667,0.619,0.381,0.919333333
41,0.165333333,0.725,0.275,0.834666667
42,0.165,0.733,0.267,0.835
43,0.142,0.717,0.283,0.858
44,0.133666667,0.681,0.319,0.866333333
45,0.115,0.664,0.336,0.885
46,0.090666667,0.597,0.403,0.909333333
47,0.187333333,0.762,0.238,0.812666667
48,0.101333333,0.606,0.394,0.898666667
49,0.115,0.691,0.309,0.885
