,FPR,TPR,FNR,TNR
0,0.134,0.628,0.372,0.866
1,0.07333333333333333,0.548,0.452,0.9266666666666666
2,0.093,0.596,0.404,0.907
3,0.06333333333333334,0.496,0.504,0.9366666666666666
4,0.17433333333333334,0.69,0.31,0.8256666666666667
5,0.11866666666666667,0.632,0.368,0.8813333333333333
6,0.192,0.7070000000000001,0.293,0.808
7,0.065,0.52,0.48,0.935
8,0.13666666666666666,0.646,0.354,0.8633333333333333
9,0.15933333333333333,0.623,0.377,0.8406666666666667
10,0.12166666666666667,0.638,0.362,0.8783333333333333
11,0.10333333333333333,0.5920000000000001,0.408,0.8966666666666667
12,0.155,0.6890000000000001,0.311,0.845
13,0.12766666666666668,0.613,0.387,0.8723333333333333
14,0.25166666666666665,0.729,0.271,0.7483333333333333
15,0.07766666666666666,0.531,0.469,0.9223333333333333
16,0.22933333333333333,0.741,0.259,0.7706666666666666
17,0.1,0.613,0.387,0.9
18,0.068,0.518,0.482,0.9319999999999999
19,0.13533333333333333,0.648,0.352,0.8646666666666667
20,0.089,0.5589999999999999,0.441,0.911
21,0.15666666666666668,0.6839999999999999,0.316,0.8433333333333333
22,0.274,0.772,0.228,0.726
23,0.185,0.714,0.286,0.815
24,0.061,0.486,0.514,0.9390000000000001
25,0.12433333333333334,0.633,0.367,0.8756666666666667
26,0.13033333333333333,0.641,0.359,0.8696666666666667
27,0.338,0.792,0.208,0.6619999999999999
28,0.171,0.679,0.321,0.829
29,0.07633333333333334,0.538,0.462,0.9236666666666666
30,0.171,0.6859999999999999,0.314,0.829
31,0.069,0.488,0.512,0.931
32,0.17466666666666666,0.702,0.298,0.8253333333333334
33,0.118,0.644,0.356,0.882
34,0.29333333333333333,0.764,0.236,0.7066666666666667
35,0.10333333333333333,0.558,0.442,0.8966666666666667
36,0.05533333333333333,0.478,0.522,0.9446666666666667
37,0.13166666666666665,0.657,0.343,0.8683333333333334
38,0.10133333333333333,0.5860000000000001,0.414,0.8986666666666667
39,0.09,0.575,0.425,0.91
40,0.09633333333333334,0.622,0.378,0.9036666666666666
41,0.11733333333333333,0.589,0.411,0.8826666666666667
42,0.111,0.5920000000000001,0.408,0.889
43,0.141,0.643,0.357,0.859
44,0.10133333333333333,0.5760000000000001,0.424,0.8986666666666667
45,0.09233333333333334,0.579,0.421,0.9076666666666666
46,0.2986666666666667,0.766,0.234,0.7013333333333334
47,0.07766666666666666,0.51,0.49,0.9223333333333333
48,0.147,0.677,0.323,0.853
49,0.062,0.505,0.495,0.938
50,0.05566666666666667,0.469,0.531,0.9443333333333334
51,0.09533333333333334,0.5780000000000001,0.422,0.9046666666666666
52,0.072,0.506,0.494,0.928
53,0.041,0.385,0.615,0.959
54,0.111,0.62,0.38,0.889
55,0.05633333333333333,0.475,0.525,0.9436666666666667
56,0.07433333333333333,0.512,0.488,0.9256666666666666
57,0.231,0.758,0.242,0.769
58,0.08166666666666667,0.5429999999999999,0.457,0.9183333333333333
59,0.10833333333333334,0.589,0.411,0.8916666666666666
60,0.16233333333333333,0.698,0.302,0.8376666666666667
61,0.088,0.56,0.44,0.912
62,0.09433333333333334,0.575,0.425,0.9056666666666666
63,0.113,0.603,0.397,0.887
64,0.21366666666666667,0.714,0.286,0.7863333333333333
65,0.05333333333333334,0.41700000000000004,0.583,0.9466666666666667
66,0.06466666666666666,0.514,0.486,0.9353333333333333
67,0.084,0.531,0.469,0.916
68,0.14866666666666667,0.6639999999999999,0.336,0.8513333333333333
69,0.08033333333333334,0.531,0.469,0.9196666666666666
70,0.14733333333333334,0.6699999999999999,0.33,0.8526666666666667
71,0.169,0.613,0.387,0.831
72,0.08433333333333333,0.577,0.423,0.9156666666666666
73,0.09733333333333333,0.5800000000000001,0.42,0.9026666666666667
74,0.05533333333333333,0.496,0.504,0.9446666666666667
75,0.24,0.792,0.208,0.76
76,0.21866666666666668,0.719,0.281,0.7813333333333333
77,0.16233333333333333,0.712,0.288,0.8376666666666667
78,0.12766666666666668,0.6659999999999999,0.334,0.8723333333333333
79,0.1,0.5920000000000001,0.408,0.9
80,0.099,0.585,0.415,0.901
81,0.117,0.601,0.399,0.883
82,0.05566666666666667,0.47,0.53,0.9443333333333334
83,0.09166666666666666,0.5780000000000001,0.422,0.9083333333333333
84,0.06466666666666666,0.481,0.519,0.9353333333333333
85,0.111,0.623,0.377,0.889
86,0.134,0.632,0.368,0.866
87,0.10533333333333333,0.614,0.386,0.8946666666666667
88,0.060333333333333336,0.44399999999999995,0.556,0.9396666666666667
89,0.16166666666666665,0.6679999999999999,0.332,0.8383333333333334
90,0.116,0.5780000000000001,0.422,0.884
91,0.20666666666666667,0.714,0.286,0.7933333333333333
92,0.135,0.63,0.37,0.865
93,0.09766666666666667,0.579,0.421,0.9023333333333333
94,0.13233333333333333,0.641,0.359,0.8676666666666667
95,0.121,0.618,0.382,0.879
96,0.15133333333333332,0.6639999999999999,0.336,0.8486666666666667
97,0.071,0.479,0.521,0.929
98,0.14133333333333334,0.663,0.337,0.8586666666666667
99,0.17533333333333334,0.6890000000000001,0.311,0.8246666666666667
