,FPR,TPR,FNR,TNR
0,0.145651712,0.550501157,0.449498843,0.854348288
1,0.102062513,0.486507325,0.513492675,0.897937487
2,0.086327876,0.458750964,0.541249036,0.913672124
3,0.124601318,0.518118736,0.481881264,0.875398682
4,0.11694663,0.513492675,0.486507325,0.88305337
5,0.089092069,0.465690054,0.534309946,0.910907931
6,0.097597278,0.478797224,0.521202776,0.902402722
7,0.106527748,0.503469545,0.496530455,0.893472252
8,0.057410164,0.399383192,0.600616808,0.942589836
9,0.111630874,0.507324595,0.492675405,0.888369126
10,0.133744418,0.527370856,0.472629144,0.866255582
11,0.101211992,0.487278335,0.512721665,0.898788008
12,0.10844142,0.501156515,0.498843485,0.89155858
13,0.096108867,0.471087124,0.528912876,0.903891133
14,0.087603657,0.465690054,0.534309946,0.912396343
15,0.124601318,0.516576715,0.483423285,0.875398682
16,0.153944291,0.548188126,0.451811874,0.846055709
17,0.109291941,0.489591365,0.510408635,0.890708059
18,0.118647672,0.510408635,0.489591365,0.881352328
19,0.107378269,0.497301465,0.502698535,0.892621731
20,0.075271104,0.430223593,0.569776407,0.924728896
21,0.169253668,0.565150347,0.434849653,0.830746332
22,0.099936211,0.486507325,0.513492675,0.900063789
23,0.077397406,0.432536623,0.567463377,0.922602594
24,0.113119286,0.499614495,0.500385505,0.886880714
25,0.099936211,0.477255204,0.522744796,0.900063789
26,0.123112907,0.526599846,0.473400154,0.876887093
27,0.09908569,0.486507325,0.513492675,0.90091431
28,0.101637253,0.484194295,0.515805705,0.898362747
29,0.085902615,0.450269854,0.549730146,0.914097385
30,0.104401446,0.490362375,0.509637625,0.895598554
31,0.102487774,0.493446415,0.506553585,0.897512226
32,0.113969807,0.498843485,0.501156515,0.886030193
33,0.115458218,0.504240555,0.495759445,0.884541782
34,0.168190517,0.565150347,0.434849653,0.831809483
35,0.132468637,0.521202776,0.478797224,0.867531363
36,0.115245588,0.505782575,0.494217425,0.884754412
37,0.096534127,0.470316114,0.529683886,0.903465873
38,0.118647672,0.510408635,0.489591365,0.881352328
39,0.137784393,0.524286816,0.475713184,0.862215607
40,0.080161599,0.446414803,0.553585197,0.919838401
41,0.088241548,0.470316114,0.529683886,0.911758452
42,0.092281522,0.474942174,0.525057826,0.907718478
43,0.113757176,0.497301465,0.502698535,0.886242824
44,0.093344674,0.471858134,0.528141866,0.906655326
45,0.083776313,0.457979954,0.542020046,0.916223687
46,0.089304699,0.454124904,0.545875096,0.910695301
47,0.102487774,0.480339244,0.519660756,0.897512226
48,0.078035297,0.441017733,0.558982267,0.921964703
49,0.110355092,0.497301465,0.502698535,0.889644908
0,0.07165639,0.434849653,0.565150347,0.92834361
1,0.093557304,0.464148034,0.535851966,0.906442696
2,0.119285562,0.505011565,0.494988435,0.880714438
3,0.13523283,0.539707016,0.460292984,0.86476717
4,0.109291941,0.501927525,0.498072475,0.890708059
5,0.097172018,0.476484194,0.523515806,0.902827982
6,0.096746757,0.478026214,0.521973786,0.903253243
7,0.115245588,0.501156515,0.498843485,0.884754412
8,0.107378269,0.484965305,0.515034695,0.892621731
9,0.211567085,0.609868928,0.390131072,0.788432915
10,0.095896236,0.477255204,0.522744796,0.904103764
11,0.086965767,0.466461064,0.533538936,0.913034233
12,0.093557304,0.472629144,0.527370856,0.906442696
13,0.082500532,0.450269854,0.549730146,0.917499468
14,0.120561344,0.525828836,0.474171164,0.879438656
15,0.106527748,0.486507325,0.513492675,0.893472252
16,0.122900276,0.513492675,0.486507325,0.877099724
17,0.085902615,0.457979954,0.542020046,0.914097385
18,0.083138422,0.457979954,0.542020046,0.916861578
19,0.092706783,0.475713184,0.524286816,0.907293217
20,0.097172018,0.478797224,0.521202776,0.902827982
21,0.090793111,0.470316114,0.529683886,0.909206889
22,0.121624495,0.507324595,0.492675405,0.878375505
23,0.104401446,0.492675405,0.507324595,0.895598554
24,0.087816287,0.462606014,0.537393986,0.912183713
25,0.107378269,0.500385505,0.499614495,0.892621731
26,0.095470976,0.474942174,0.525057826,0.904529024
27,0.124388688,0.524286816,0.475713184,0.875611312
28,0.114607697,0.514263685,0.485736315,0.885392303
29,0.091431001,0.469545104,0.530454896,0.908568999
30,0.101211992,0.498072475,0.501927525,0.898788008
31,0.10822879,0.492675405,0.507324595,0.89177121
32,0.08994259,0.472629144,0.527370856,0.91005741
33,0.08972996,0.463377024,0.536622976,0.91027004
34,0.098447799,0.476484194,0.523515806,0.901552201
35,0.120986604,0.512721665,0.487278335,0.879013396
36,0.131618116,0.528912876,0.471087124,0.868381884
37,0.086753136,0.469545104,0.530454896,0.913246864
38,0.105251967,0.495759445,0.504240555,0.894748033
39,0.135658091,0.529683886,0.470316114,0.864341909
40,0.104401446,0.486507325,0.513492675,0.895598554
41,0.107165639,0.488820355,0.511179645,0.892834361
42,0.112694025,0.508095605,0.491904395,0.887305975
43,0.10844142,0.488820355,0.511179645,0.89155858
44,0.112906655,0.502698535,0.497301465,0.887093345
45,0.093132043,0.468774094,0.531225906,0.906867957
46,0.086965767,0.459521974,0.540478026,0.913034233
47,0.126940251,0.528141866,0.471858134,0.873059749
48,0.087603657,0.470316114,0.529683886,0.912396343
49,0.068254306,0.427910563,0.572089437,0.931745694
