,FPR,TPR,FNR,TNR
0,0.064877853,0.907554672,0.092445328,0.935122147
1,0.091109331,0.92445328,0.07554672,0.908890669
2,0.050660793,0.866799205,0.133200795,0.949339207
3,0.063476171,0.895626243,0.104373757,0.936523829
4,0.042250701,0.849900596,0.150099404,0.957749299
5,0.035242291,0.820079523,0.179920477,0.964757709
6,0.066279535,0.889662028,0.110337972,0.933720465
7,0.067681217,0.894632207,0.105367793,0.932318783
8,0.062875451,0.894632207,0.105367793,0.937124549
9,0.061674009,0.863817097,0.136182903,0.938325991
10,0.025230276,0.793240557,0.206759443,0.974769724
11,0.068682419,0.903578529,0.096421471,0.931317581
12,0.057268722,0.876739563,0.123260437,0.942731278
13,0.022026432,0.745526839,0.254473161,0.977973568
14,0.043251902,0.854870775,0.145129225,0.956748098
15,0.060072087,0.894632207,0.105367793,0.939927913
16,0.035242291,0.819085487,0.180914513,0.964757709
17,0.021425711,0.772365805,0.227634195,0.978574289
18,0.105326392,0.938369781,0.061630219,0.894673608
19,0.016820184,0.748508946,0.251491054,0.983179816
20,0.096716059,0.922465209,0.077534791,0.903283941
21,0.058470164,0.875745527,0.124254473,0.941529836
22,0.042851422,0.857852883,0.142147117,0.957148578
23,0.067280737,0.883697813,0.116302187,0.932719263
24,0.052262715,0.869781312,0.130218688,0.947737285
25,0.080096115,0.916500994,0.083499006,0.919903885
26,0.036643973,0.825049702,0.174950298,0.963356027
27,0.031838206,0.836978131,0.163021869,0.968161794
28,0.064877853,0.885685885,0.114314115,0.935122147
29,0.050460553,0.869781312,0.130218688,0.949539447
30,0.030036043,0.817097416,0.182902584,0.969963957
31,0.036443732,0.836978131,0.163021869,0.963556268
32,0.049058871,0.861829026,0.138170974,0.950941129
33,0.060873048,0.885685885,0.114314115,0.939126952
34,0.056467761,0.888667992,0.111332008,0.943532239
35,0.031437725,0.812127237,0.187872763,0.968562275
36,0.040048058,0.85387674,0.14612326,0.959951942
37,0.064477373,0.9055666,0.0944334,0.935522627
38,0.050460553,0.862823062,0.137176938,0.949539447
39,0.056067281,0.878727634,0.121272366,0.943932719
40,0.087304766,0.904572565,0.095427435,0.912695234
41,0.039247097,0.824055666,0.175944334,0.960752903
42,0.057268722,0.890656064,0.109343936,0.942731278
43,0.065478574,0.897614314,0.102385686,0.934521426
44,0.066680016,0.89860835,0.10139165,0.933319984
45,0.040849019,0.842942346,0.157057654,0.959150981
46,0.040648779,0.836978131,0.163021869,0.959351221
47,0.077893472,0.909542744,0.090457256,0.922106528
48,0.027232679,0.7972167,0.2027833,0.972767321
49,0.035242291,0.812127237,0.187872763,0.964757709
0,0.021826191,0.749502982,0.250497018,0.978173809
1,0.038045655,0.826043738,0.173956262,0.961954345
2,0.083900681,0.923459245,0.076540755,0.916099319
3,0.037845414,0.831013917,0.168986083,0.962154586
4,0.04885863,0.881709742,0.118290258,0.95114137
5,0.100921105,0.931411531,0.068588469,0.899078895
6,0.093912695,0.918489066,0.081510934,0.906087305
7,0.045254305,0.855864811,0.144135189,0.954745695
8,0.039046856,0.832007952,0.167992048,0.960953144
9,0.061273528,0.874751491,0.125248509,0.938726472
10,0.026231478,0.764413519,0.235586481,0.973768522
11,0.081698038,0.904572565,0.095427435,0.918301962
12,0.038045655,0.818091451,0.181908549,0.961954345
13,0.089907889,0.931411531,0.068588469,0.910092111
14,0.098918702,0.92445328,0.07554672,0.901081298
15,0.063275931,0.883697813,0.116302187,0.936724069
16,0.074289147,0.911530815,0.088469185,0.925710853
17,0.062074489,0.889662028,0.110337972,0.937925511
18,0.042450941,0.868787276,0.131212724,0.957549059
19,0.0278334,0.789264414,0.210735586,0.9721666
20,0.051461754,0.865805169,0.134194831,0.948538246
21,0.090708851,0.916500994,0.083499006,0.909291149
22,0.060072087,0.87972167,0.12027833,0.939927913
23,0.046255507,0.852882704,0.147117296,0.953744493
24,0.050660793,0.871769384,0.128230616,0.949339207
25,0.038846616,0.844930417,0.155069583,0.961153384
26,0.042450941,0.876739563,0.123260437,0.957549059
27,0.058470164,0.872763419,0.127236581,0.941529836
28,0.047657189,0.867793241,0.132206759,0.952342811
29,0.021425711,0.764413519,0.235586481,0.978574289
30,0.054265118,0.884691849,0.115308151,0.945734882
31,0.073888666,0.902584493,0.097415507,0.926111334
32,0.082899479,0.911530815,0.088469185,0.917100521
33,0.108730477,0.935387674,0.064612326,0.891269523
34,0.066680016,0.878727634,0.121272366,0.933319984
35,0.060072087,0.887673956,0.112326044,0.939927913
36,0.032238686,0.837972167,0.162027833,0.967761314
37,0.068081698,0.897614314,0.102385686,0.931918302
38,0.039647577,0.845924453,0.154075547,0.960352423
39,0.033640368,0.82306163,0.17693837,0.966359632
40,0.078093712,0.904572565,0.095427435,0.921906288
41,0.037044453,0.832007952,0.167992048,0.962955547
42,0.088506207,0.92445328,0.07554672,0.911493793
43,0.046455747,0.861829026,0.138170974,0.953544253
44,0.039847817,0.844930417,0.155069583,0.960152183
45,0.059070885,0.867793241,0.132206759,0.940929115
46,0.056067281,0.889662028,0.110337972,0.943932719
47,0.053263917,0.867793241,0.132206759,0.946736083
48,0.107128554,0.94333996,0.05666004,0.892871446
49,0.021225471,0.755467197,0.244532803,0.978774529
