,FPR,FNR
0,0.108,0.7
1,0.096,0.726
2,0.1,0.732
3,0.083,0.766
4,0.098,0.718
5,0.089,0.76
6,0.083,0.764
7,0.093,0.74
8,0.101,0.732
9,0.084,0.772
10,0.095,0.732
11,0.085,0.742
12,0.075,0.768
13,0.082,0.744
14,0.088,0.736
15,0.075,0.752
16,0.066,0.776
17,0.059,0.798
18,0.081,0.742
19,0.107,0.718
20,0.065,0.816
21,0.097,0.736
22,0.119,0.684
23,0.106,0.7
24,0.084,0.768
25,0.083,0.748
26,0.066,0.818
27,0.073,0.796
28,0.111,0.696
29,0.084,0.774
30,0.066,0.798
31,0.05,0.846
32,0.059,0.824
33,0.083,0.774
34,0.063,0.806
35,0.073,0.782
36,0.094,0.744
37,0.08,0.772
38,0.074,0.776
39,0.06,0.808
40,0.08,0.772
41,0.083,0.766
42,0.052,0.818
43,0.105,0.74
44,0.093,0.756
45,0.074,0.792
46,0.074,0.78
47,0.082,0.784
48,0.064,0.802
49,0.098,0.758
