,FPR,FNR
0,0.383,0.52
1,0.39,0.502
2,0.395,0.502
3,0.396,0.502
4,0.402,0.484
5,0.377,0.512
6,0.385,0.51
7,0.392,0.498
8,0.413,0.486
9,0.369,0.526
10,0.382,0.498
11,0.395,0.482
12,0.402,0.472
13,0.4,0.476
14,0.387,0.496
15,0.397,0.486
16,0.395,0.484
17,0.396,0.48
18,0.398,0.478
19,0.364,0.506
20,0.355,0.512
21,0.357,0.512
22,0.362,0.508
23,0.335,0.526
24,0.359,0.516
25,0.359,0.512
26,0.355,0.52
27,0.371,0.502
28,0.337,0.528
29,0.37,0.508
30,0.387,0.462
31,0.36,0.498
32,0.402,0.45
33,0.402,0.448
34,0.377,0.484
35,0.342,0.522
36,0.399,0.452
37,0.369,0.492
38,0.386,0.46
39,0.371,0.49
40,0.391,0.474
41,0.356,0.536
42,0.381,0.498
43,0.356,0.524
44,0.367,0.518
45,0.387,0.484
46,0.349,0.536
47,0.375,0.508
48,0.375,0.504
49,0.363,0.528
0,0.374,0.488
1,0.372,0.486
2,0.352,0.512
3,0.345,0.526
4,0.344,0.526
5,0.355,0.522
6,0.353,0.51
7,0.346,0.52
8,0.351,0.526
9,0.344,0.526
10,0.431,0.436
11,0.425,0.458
12,0.422,0.446
13,0.404,0.462
14,0.409,0.462
15,0.442,0.436
16,0.412,0.458
17,0.413,0.478
18,0.409,0.466
19,0.417,0.464
20,0.414,0.438
21,0.353,0.502
22,0.384,0.482
23,0.377,0.47
24,0.401,0.456
25,0.376,0.488
26,0.363,0.498
27,0.393,0.458
28,0.366,0.488
29,0.375,0.486
30,0.396,0.494
31,0.399,0.5
32,0.367,0.522
33,0.382,0.514
34,0.384,0.504
35,0.411,0.47
36,0.412,0.49
37,0.367,0.518
38,0.391,0.492
39,0.371,0.528
40,0.383,0.48
41,0.379,0.482
42,0.386,0.482
43,0.377,0.486
44,0.4,0.466
45,0.376,0.502
46,0.381,0.486
47,0.362,0.516
48,0.389,0.478
49,0.395,0.456
