,FPR,FNR
0,0.36,0.516
1,0.358,0.516
2,0.38,0.51
3,0.354,0.53
4,0.365,0.506
5,0.363,0.522
6,0.361,0.514
7,0.365,0.508
8,0.373,0.5
9,0.354,0.538
10,0.349,0.59
11,0.399,0.536
12,0.367,0.578
13,0.392,0.552
14,0.365,0.556
15,0.389,0.534
16,0.361,0.576
17,0.387,0.532
18,0.347,0.582
19,0.366,0.56
20,0.413,0.46
21,0.401,0.462
22,0.371,0.484
23,0.405,0.474
24,0.395,0.468
25,0.375,0.486
26,0.408,0.464
27,0.412,0.456
28,0.413,0.452
29,0.423,0.444
30,0.407,0.446
31,0.418,0.44
32,0.399,0.464
33,0.385,0.462
34,0.413,0.448
35,0.4,0.454
36,0.385,0.474
37,0.44,0.432
38,0.416,0.452
39,0.331,0.518
40,0.388,0.534
41,0.398,0.524
42,0.373,0.56
43,0.385,0.54
44,0.367,0.556
45,0.386,0.538
46,0.416,0.516
47,0.346,0.576
48,0.348,0.574
49,0.394,0.53
0,0.347,0.54
1,0.348,0.534
2,0.37,0.516
3,0.387,0.502
4,0.391,0.5
5,0.372,0.52
6,0.373,0.514
7,0.383,0.516
8,0.375,0.516
9,0.378,0.52
10,0.393,0.486
11,0.368,0.514
12,0.394,0.496
13,0.364,0.508
14,0.389,0.498
15,0.379,0.498
16,0.355,0.534
17,0.4,0.482
18,0.361,0.524
19,0.402,0.498
20,0.399,0.496
21,0.376,0.514
22,0.414,0.49
23,0.385,0.504
24,0.38,0.51
25,0.388,0.506
26,0.378,0.504
27,0.405,0.492
28,0.371,0.52
29,0.38,0.502
30,0.328,0.568
31,0.321,0.56
32,0.351,0.53
33,0.349,0.534
34,0.338,0.532
35,0.358,0.526
36,0.382,0.506
37,0.353,0.532
38,0.362,0.522
39,0.373,0.506
40,0.403,0.488
41,0.388,0.508
42,0.37,0.524
43,0.382,0.51
44,0.37,0.522
45,0.377,0.51
46,0.402,0.492
47,0.388,0.51
48,0.368,0.526
49,0.368,0.506
