,FPR,FNR
0,0.337,0.522
1,0.335,0.518
2,0.341,0.522
3,0.349,0.508
4,0.336,0.522
5,0.335,0.528
6,0.337,0.52
7,0.332,0.526
8,0.329,0.544
9,0.351,0.506
10,0.326,0.508
11,0.341,0.5
12,0.339,0.502
13,0.367,0.472
14,0.317,0.522
15,0.326,0.52
16,0.391,0.446
17,0.33,0.518
18,0.372,0.462
19,0.332,0.51
20,0.327,0.55
21,0.366,0.48
22,0.34,0.522
23,0.343,0.524
24,0.359,0.502
25,0.347,0.51
26,0.371,0.474
27,0.334,0.534
28,0.351,0.508
29,0.327,0.536
30,0.33,0.556
31,0.339,0.548
32,0.297,0.582
33,0.376,0.506
34,0.33,0.548
35,0.378,0.486
36,0.37,0.514
37,0.349,0.538
38,0.371,0.522
39,0.394,0.492
40,0.357,0.51
41,0.342,0.518
42,0.351,0.51
43,0.358,0.51
44,0.343,0.52
45,0.362,0.506
46,0.388,0.48
47,0.341,0.518
48,0.322,0.54
49,0.348,0.52
50,0.34,0.498
51,0.341,0.522
52,0.336,0.508
53,0.352,0.496
54,0.322,0.53
55,0.364,0.472
56,0.323,0.53
57,0.355,0.492
58,0.32,0.538
59,0.356,0.484
60,0.327,0.526
61,0.346,0.506
62,0.332,0.522
63,0.358,0.488
64,0.35,0.5
65,0.363,0.49
66,0.346,0.508
67,0.346,0.51
68,0.328,0.532
69,0.332,0.53
70,0.367,0.496
71,0.382,0.484
72,0.393,0.466
73,0.362,0.498
74,0.417,0.444
75,0.348,0.528
76,0.382,0.48
77,0.367,0.506
78,0.392,0.466
79,0.362,0.504
80,0.362,0.532
81,0.382,0.52
82,0.373,0.52
83,0.372,0.52
84,0.36,0.536
85,0.392,0.492
86,0.354,0.532
87,0.347,0.546
88,0.373,0.52
89,0.37,0.522
90,0.331,0.554
91,0.39,0.482
92,0.381,0.484
93,0.355,0.508
94,0.369,0.496
95,0.332,0.546
96,0.321,0.562
97,0.416,0.464
98,0.381,0.49
99,0.343,0.534
